SUBS_ID	GA_CID	KEYWORD	FIRST_BILLED	BILLED
00d19520020ca06cec2900005c346d03	360511729-1546939625	ora_unlimitedvids	1	16
01d14ccc030ca6a0571000005c348738	555318837-1546351575	ora_unlimitedvids	1	1
00bc0b10010cad8ad19500005c348a5d	317834603-1546947156	ora_unlimitedvids	1	11
04a94300020ca3af457600005c437fc0	393472706-1547248157	ora_unlimitedvids	1	7
008b69d8020ca3079cbd00005c439abc	941742650-1547934100	ora_unlimitedvids	1	36
029d4bd8030ca2d9d90600005c43d729	382686281-1547949848	ora_unlimitedvids	1	4
059d669c030ca0a7920d00005c4411e5	610999261-1547964823	ora_unlimitedvids	1	5
0052ba84030ca386dd2500005c3b30a8	667612908-1546892821	ora_unlimitedvids	1	30
039b3c0c030ca16a76f300005c448b35	248129880-1547995943	ora_unlimitedvids	1	7
0255ee50020cad0e00ea00005c44bd5c	474208939-1548008782	ora_unlimitedvids	1	3
04e82b4c030ca11871bb00005c3bcc8a	143653959-1544520817	ora_unlimitedvids	1	20
0084e770020caa8a7ed700005c4508b5	621893341-1547940194	ora_unlimitedvids	1	36
02c3f454030ca33453cb00005c37755f	312584491-1547138386	ora_unlimitedvids	0	1
03e0ed74010caead149300005c3c685d	116764310-1543235145	ora_unlimitedvids	1	4
05921ad0010ca1a08fc400005c45c82b	151175069-1548077084	ora_unlimitedvids	1	1
003e4d9c020ca80f204c00005c478f68	881835033-1518629198	ora_unlimitedvids	1	30
02776134030cac124b3200005c487c41	675669542-1548254242	ora_unlimitedvids	1	8
04a508f8030ca432cd3700005c3b7b47	643101328-1547402036	ora_unlimitedvids	1	10
015dc180020ca289fd8d00005c3baf73	613804939-1547415381	ora_unlimitedvids	1	20
00328d04010caa63d5a400005c3c14bb	226726252-1547441324	ora_unlimitedvids	1	6
023fc990010cadd08a0c00005c45990a	923650362-1548065010	ora_unlimitedvids	1	8
0505bd38010caa31a8e700005c45ab1d	686534173-1548056701	ora_unlimitedvids	1	1
05e27a98020ca3c132b000005c3c85ad	703544324-1526630690	ora_unlimitedvids	1	35
001d13c0030cab063c2c00005c3cadd7	428278388-1547480519	ora_unlimitedvids	1	8
01728138020ca5a67e5600005c46086d	900507643-1548093529	ora_unlimitedvids	1	6
05213158010cac36f24a00005c463da2	626194509-1548107153	ora_unlimitedvids	1	1
0404c9ec020ca42222b800005c3d11a3	682818133-1546114754	ora_unlimitedvids	0	2
01cffc78010ca2ee4ef400005c46ee23	374020218-1548152346	ora_unlimitedvids	1	1
0101d898020ca69fa86300005c46f02c	581407265-1547994326	ora_unlimitedvids	1	4
02793bd0010ca1eb123500005c3dfe04	985290292-1527931566	ora_unlimitedvids	1	9
048a2b3c020caea38e8f00005c3e0a4f	528872010-1547569726	ora_unlimitedvids	1	7
00cec4d0010ca9c48b4400005c47694a	531919405-1548183603	ora_unlimitedvids	1	35
00de24c0010ca7fefa9100005c478751	535272488-1527765987	ora_unlimitedvids	1	3
028f265c020cadeadee800005c4824e0	572927715-1548231883	ora_unlimitedvids	1	13
0485de74030ca1da444300005c35c79f	1524904512979-2610057024917065	ora_unlimitedvids	1	8
01233858020ca8b3125800005c3f2c92	497867165-1547644028	ora_unlimitedvids	1	36
0049aa98030ca5c8ee1b00005c363965	139487147-1547057497	ora_unlimitedvids	1	11
01c69700030cadaa681b00005c45c69a	212905086-1547485430	ora_unlimitedvids	1	2
02c34360010cabe5dec100005c3cf13a	367290714-1547497766	ora_unlimitedvids	1	6
03e19c10020ca218d00700005c3dc708	561180153-1544473704	ora_unlimitedvids	1	36
030d52c0020ca10e05a700005c4874d5	341995706-1548191501	ora_unlimitedvids	1	35
049028d4030cae898c8100005c48931f	275905373-1548260091	ora_unlimitedvids	1	1
0177f03c010ca1a4fc0a00005cb606a9	575109351-1555433113	ora_unlimitedvids	1	6
005f3da4020ca2b3cb6800005cbf4ed3	559842794-1550100856	ora_unlimitedvids	1	1
05ae7e64030ca900bdbf00005cbf5c54	201723587-1556044832	ora_unlimitedvids	1	6
045ee6ac030ca3164d7000005c9a9264	564882083-1514731477	ora_unlimitedvids	1	22
04a66310030ca826844e00005c88e890	301427423-1552476283	ora_unlimitedvids	0	3
03c86560030cac5cff0100005c595a2c	111462178-1549359639	ora_unlimitedvids	1	11
04993988020ca4f697a300005cadcf06	495401558-1554894564	ora_unlimitedvids	1	13
0180bdc0030ca85554f200005c769912	908085191-1551276281	ora_unlimitedvids	1	10
009d0418030caf8d1cd700005c891b31	507006246-1552489255	ora_unlimitedvids	1	28
03c76840030ca99b30e300005ca4ee02	785841604-1554312696	ora_unlimitedvids	1	8
020c5038020ca3fb1b3a00005c672a98	391873656-1550013577	ora_unlimitedvids	1	3
015ca2c8020cac4ef83900005c58a664	994200524-1549313625	ora_unlimitedvids	1	6
002cca04030ca23ea46d00005c5eb35d	500617105-1549710158	ora_unlimitedvids	1	5
0350f598030ca8e69abf00005c7160b4	651016817-1550934183	ora_unlimitedvids	1	32
0150c548020ca8885ef800005c6866c2	195946503-1550345859	ora_unlimitedvids	1	16
0431fb10020ca212f78200005c4cbc33	185648615-1548532766	ora_unlimitedvids	1	7
02529098030ca9b0e26d00005c71cb48	828317382-1550961464	ora_unlimitedvids	1	4
02c275e8020cae6f224600005c71cf4c	536435462-1550962501	ora_unlimitedvids	1	4
02c879c0010ca256d2ed00005c72c178	452787504-1551024468	ora_unlimitedvids	1	3
01bac984020ca507332e00005c69f8ed	1530448001428-0869445066643666	ora_unlimitedvids	1	2
02cfaf74010ca49d483800005c4482a1	313615202-1547985803	ora_unlimitedvids	1	1
00f88af4030caa780fa300005c449ae1	748097008-1547999945	ora_unlimitedvids	1	1
011c26f8030ca426cec500005c44a561	211597633-1548002650	ora_unlimitedvids	1	12
02c24190020cae682a3d00005c3cb5a5	904084507-1547482516	ora_unlimitedvids	1	26
057b5458010ca1777fa200005c4635c3	672137624-1548105134	ora_unlimitedvids	1	4
02459eec020ca262e2b400005c3b2230	942341255-1547379239	ora_unlimitedvids	1	4
016bacc8020cae138fe200005c3b6608	506162264-1544372843	ora_unlimitedvids	1	38
03311cdc020ca0731b1800005c4585e1	507250991-1548060121	ora_unlimitedvids	1	1
04faa4fc030caf739be100005c45a990	391441280-1548069243	ora_unlimitedvids	1	18
04d8a3e8030ca22cd77600005c470fd1	422288546-1548160787	ora_unlimitedvids	1	1
02b3cd90030ca3c6017700005c471529	958912873-1548162332	ora_unlimitedvids	1	1
0479cfbc020ca69251c900005c4746c2	203075205-1548175018	ora_unlimitedvids	1	1
05df0b4c020ca7fffc7b00005c3e1932	661274608-1547573538	ora_unlimitedvids	1	7
0151cc90030ca805d61d00005c485fbd	498175048-1548246958	ora_unlimitedvids	1	1
0078d78c030ca5fdf5c900005c44a14a	505874725-1548001585	ora_unlimitedvids	1	1
00c0c790030ca318957700005c3c9089	232141977-1547472962	ora_unlimitedvids	1	11
01cb9ee4030ca4ac7fbb00005c462704	101233499-1548101205	ora_unlimitedvids	1	35
05ece564010cabc9ea8400005c3cfdba	867375283-1528628041	ora_unlimitedvids	1	15
01215718010ca119fc0f00005c46dbcb	880742419-1548147610	ora_unlimitedvids	1	1
02274050010ca97d82c600005c46fe76	864216695-1548156523	ora_unlimitedvids	1	2
0042e118030ca2b13c4d00005c34b55a	405721883-1546939588	ora_unlimitedvids	1	10
046359bc030ca47af08700005c3ecf29	353265609-1544181192	ora_unlimitedvids	1	34
00943054020ca1079f6000005c488dee	852094168-1548258779	ora_unlimitedvids	1	1
025c5f88020ca942be4000005c48b9cc	362472017-1548270008	ora_unlimitedvids	1	19
030e5620020cac73871a00005c75827a	222881330-1551204959	ora_unlimitedvids	1	13
0439dd6c030cac5a675d00005c8800e9	975900679-1552371601	ora_unlimitedvids	1	11
02aca77c010cad4a62ac00005c6c5a47	768136571-1550604859	ora_unlimitedvids	1	30
04e86cec020ca05dac3200005cb62a75	713569644-1555442283	ora_unlimitedvids	1	23
04611c4c010ca5c2a00e00005c8812d6	674715815-1552421578	ora_unlimitedvids	1	28
0271d1c4020ca1dc702000005c9aa6b2	121702536-1553639072	ora_unlimitedvids	1	9
03143e3c030ca8fed5bd00005c9f998b	796362393-1553963380	ora_unlimitedvids	1	8
037079f4020ca081ffa500005c9a7c5b	609060005-1553628233	ora_unlimitedvids	1	22
02d91230030cafb22c3800005c578397	956199313-1549239172	ora_unlimitedvids	1	11
0004edb8030ca47d128800005c7a8a6d	448777196-1551534689	ora_unlimitedvids	1	24
02326c78020cac6f466d00005cbfedd9	927426545-1556082124	ora_unlimitedvids	1	2
04899d70030caa857f8000005ca460cd	426671202-1554276546	ora_unlimitedvids	1	8
0152334c020ca3e5bf7500005cc017ad	701520614-1556092832	ora_unlimitedvids	1	1
0482ac18010cae52837f00005cb6e9d4	134537554-1555491268	ora_unlimitedvids	1	15
054794b0030caad1b48c00005c765784	212694617-1551259487	ora_unlimitedvids	1	30
057e4898020cabd671bb00005c64154b	647039652-1520549694	ora_unlimitedvids	1	32
015be3c4030caff23c3f00005ca4b9fc	511311331-1554299335	ora_unlimitedvids	1	8
024dc3b0020ca3a29fb800005cc0713f	302795378-1556115728	ora_unlimitedvids	1	1
02112810020ca3f5fc0e00005c76c444	751789562-1551287349	ora_unlimitedvids	1	10
0505b11c020caf0a5b7a00005c4b3f5b	745311459-1547976441	ora_unlimitedvids	1	8
031e1880010cab0c665400005c38cd7d	909252064-1547226425	ora_unlimitedvids	1	20
00e71ff8010ca77194ca00005c670aa8	665550475-1550256798	ora_unlimitedvids	1	6
024c285c030cae142daa00005c38e3ff	849684591-1547232241	ora_unlimitedvids	1	11
05180f10030cae8f518e00005c70575f	590526574-1550866251	ora_unlimitedvids	1	1
0435fe04030caecabb2100005c423240	514746066-1547842070	ora_unlimitedvids	1	37
03d73018030cabd7cf3800005c4b789e	316937726-1548449922	ora_unlimitedvids	1	18
04782e8c030ca872ebe800005c6740f6	757775424-1550261053	ora_unlimitedvids	1	3
04f2a108030ca970be9200005c392248	509582959-1546562493	ora_unlimitedvids	1	38
014043e4030ca955adcc00005c4c2bec	613223255-1548495809	ora_unlimitedvids	1	13
01cc9c68020ca8e36a1500005c4f3a11	435028674-1548696071	ora_unlimitedvids	0	13
0133c510010ca40b513e00005c70b86b	446250196-1550891097	ora_unlimitedvids	1	1
05af0e88030cadc78c8700005c67d1a4	716811133-1550307738	ora_unlimitedvids	1	3
0180baa0030ca775320700005c5e9a2f	425867875-1549049062	ora_unlimitedvids	1	11
055085c0030ca3dee80100005c71348b	1527841213148-11807762286601697	ora_unlimitedvids	1	13
01a03218020ca87c4dce00005c39df4f	113647458-1547296164	ora_unlimitedvids	1	34
05753140010ca93eea7000005c682598	274160192-1550329191	ora_unlimitedvids	1	11
04b1fdc4010ca01fa6da00005c5f0336	125802260-1549585746	ora_unlimitedvids	1	5
05bc9698020ca21d254500005c71847b	426758606-1550943326	ora_unlimitedvids	1	9
030edb54010caf221f0900005c684e0c	542571732-1550339578	ora_unlimitedvids	1	8
02ce442c010ca647678300005c71bf79	222877663-1550958286	ora_unlimitedvids	1	1
02f78580030ca43eb69100005c71eb94	288992583-1550969739	ora_unlimitedvids	1	1
004a1924010ca5ec1e9d00005c507090	734227225-1546510291	ora_unlimitedvids	1	20
0322e248010ca1c3d06800005c39326f	216138709-1547252312	ora_unlimitedvids	1	38
01c6f45c020ca12cc44900005c725e72	662815983-1550999143	ora_unlimitedvids	1	4
0195792c020caabaf69100005c729cfe	805526934-1551015151	ora_unlimitedvids	1	1
04e781c4010cab90a48d00005c69b64e	321108568-1550431806	ora_unlimitedvids	1	7
011c15c8010ca686cc9f00005c7326d7	819376667-1551050438	ora_unlimitedvids	1	1
02ceae6c020caf186b4300005c4145f3	456528356-1544478448	ora_unlimitedvids	1	7
0416499c020cabd58a1400005c734976	625924452-1551059302	ora_unlimitedvids	1	9
03a2d5c0020ca80fdcb900005c612416	772031412-1549870031	ora_unlimitedvids	1	4
0478d7b0020ca16f3d8300005c4eb760	666671208-1548662609	ora_unlimitedvids	1	10
01e23488020caa8dee2b00005c3b2a07	1492671301851-07941130171676658	ora_unlimitedvids	1	38
059661bc020cae30f60d00005c44e8c9	673189000-1533333926	ora_unlimitedvids	1	1
0330b6e8020ca604896200005c461908	644381014-1548097787	ora_unlimitedvids	1	5
04a25e8c020ca5f5a5e500005c471003	267500833-1546974833	ora_unlimitedvids	1	35
00ce9c94020cada0218c00005c3e3950	948198270-1547581759	ora_unlimitedvids	1	20
04171bc4020cadb8395b00005c3585fb	999700126-1547011563	ora_unlimitedvids	1	37
0326d7f4020ca53dd42400005ca39398	965929328-1554224011	ora_unlimitedvids	1	8
